"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 22:10:06 GMT 2024","Sun Jun 09 22:10:06 GMT 2024","305","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 09 22:10:25 GMT 2024","Sun Jun 09 22:10:25 GMT 2024","687","tests","test_login","","","","test_successful_login",""
"passed","Sun Jun 09 22:10:20 GMT 2024","Sun Jun 09 22:10:23 GMT 2024","2728","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 22:10:26 GMT 2024","Sun Jun 09 22:10:27 GMT 2024","682","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 22:10:06 GMT 2024","Sun Jun 09 22:10:06 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 09 22:10:24 GMT 2024","Sun Jun 09 22:10:24 GMT 2024","36","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 22:10:18 GMT 2024","Sun Jun 09 22:10:19 GMT 2024","853","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 22:10:05 GMT 2024","Sun Jun 09 22:10:06 GMT 2024","752","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 22:10:06 GMT 2024","Sun Jun 09 22:10:06 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
