"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 21:22:31 GMT 2024","Sun Jun 09 21:22:32 GMT 2024","729","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 21:22:52 GMT 2024","Sun Jun 09 21:22:53 GMT 2024","692","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 21:22:51 GMT 2024","Sun Jun 09 21:22:52 GMT 2024","683","tests","test_login","","","","test_successful_login",""
"passed","Sun Jun 09 21:22:44 GMT 2024","Sun Jun 09 21:22:45 GMT 2024","802","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 21:22:50 GMT 2024","Sun Jun 09 21:22:50 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 21:22:32 GMT 2024","Sun Jun 09 21:22:32 GMT 2024","315","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sun Jun 09 21:22:32 GMT 2024","Sun Jun 09 21:22:32 GMT 2024","15","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 09 21:22:46 GMT 2024","Sun Jun 09 21:22:49 GMT 2024","2664","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 21:22:32 GMT 2024","Sun Jun 09 21:22:32 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
