"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 21:29:06 GMT 2024","Sun Jun 09 21:29:06 GMT 2024","696","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 21:29:00 GMT 2024","Sun Jun 09 21:29:02 GMT 2024","2679","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 21:28:54 GMT 2024","Sun Jun 09 21:28:54 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 09 21:29:04 GMT 2024","Sun Jun 09 21:29:04 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 21:29:04 GMT 2024","Sun Jun 09 21:29:05 GMT 2024","695","tests","test_login","","","","test_successful_login",""
"passed","Sun Jun 09 21:28:58 GMT 2024","Sun Jun 09 21:28:58 GMT 2024","804","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 21:28:54 GMT 2024","Sun Jun 09 21:28:54 GMT 2024","327","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sun Jun 09 21:28:53 GMT 2024","Sun Jun 09 21:28:54 GMT 2024","821","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 21:28:54 GMT 2024","Sun Jun 09 21:28:54 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
