"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 22:04:00 GMT 2024","Sun Jun 09 22:04:01 GMT 2024","668","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 22:03:56 GMT 2024","Sun Jun 09 22:03:57 GMT 2024","742","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 22:04:02 GMT 2024","Sun Jun 09 22:04:04 GMT 2024","2486","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 22:04:06 GMT 2024","Sun Jun 09 22:04:06 GMT 2024","42","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 22:03:57 GMT 2024","Sun Jun 09 22:03:58 GMT 2024","323","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sun Jun 09 22:04:07 GMT 2024","Sun Jun 09 22:04:08 GMT 2024","679","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 22:03:58 GMT 2024","Sun Jun 09 22:03:58 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 09 22:03:57 GMT 2024","Sun Jun 09 22:03:57 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 09 22:04:06 GMT 2024","Sun Jun 09 22:04:07 GMT 2024","686","tests","test_login","","","","test_successful_login",""
