"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 21:49:35 GMT 2024","Sun Jun 09 21:49:35 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 09 21:49:20 GMT 2024","Sun Jun 09 21:49:20 GMT 2024","25","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 09 21:49:33 GMT 2024","Sun Jun 09 21:49:33 GMT 2024","41","tests","test_home","","","","test_successful_login",""
"passed","Sun Jun 09 21:49:19 GMT 2024","Sun Jun 09 21:49:20 GMT 2024","729","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sun Jun 09 21:49:21 GMT 2024","Sun Jun 09 21:49:21 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 09 21:49:33 GMT 2024","Sun Jun 09 21:49:34 GMT 2024","680","tests","test_login","","","","test_successful_login",""
"passed","Sun Jun 09 21:49:26 GMT 2024","Sun Jun 09 21:49:27 GMT 2024","905","tests","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 09 21:49:29 GMT 2024","Sun Jun 09 21:49:32 GMT 2024","2868","tests","test_edit","","","","test_edit",""
"passed","Sun Jun 09 21:49:20 GMT 2024","Sun Jun 09 21:49:21 GMT 2024","323","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
